        ,Flow Byts/s             ,Flow Pkts/s               ,Pkt Len Mean        ,Fwd IAT Mean          ,SYN Flag Cnt ,Active Mean          ,Label
5986287 ,   2079.1323708630134   ,     12.703456441118208   ,153.43750000000003  ,  168683.0            ,           0 ,      0.0            ,Benign
7251275 ,    330.5810087083764   ,      3.356152372673872   , 87.2               , 1191337.0            ,           0 ,      0.0            ,Benign
 365159 ,1532786.8852459018      ,  16393.44262295082       , 82.8               ,       0.0            ,           0 ,      0.0            ,Benign
5529366 , 794223.8267148014      ,   7220.216606498195      , 88.66666666666666  ,       0.0            ,           0 ,      0.0            ,Benign
2744600 , 442687.74703557306     ,   7905.138339920948      , 50.66666666666666  ,       0.0            ,           0 ,      0.0            ,Benign
1612202 ,    625.0553365586013   ,      7.928820336895576   , 72.76923076923076  ,  252244.33333333328  ,           0 ,      0.0            ,Benign
3407710 ,  93910.03064973633     ,    304.593653029755      ,290.1764705882353   ,    6566.124999999999 ,           0 ,      0.0            ,Benign
1329038 ,    112.66378962825365  ,      0.537735761893603   ,203.35294117647058  , 4091228.7333333325   ,           0 ,  90109.66666666669  ,Benign
5287069 ,      0.0               ,  68965.5172413793        ,  0.0               ,      29.0            ,           0 ,      0.0            ,Benign
 281287 ,   6396.227971297391    ,     26.118274544304843   ,232.65              ,   76353.42857142858  ,           1 ,      0.0            ,Benign
5090901 ,    256.18946537720683  ,      0.40718855424191813 ,616.326530612245    , 7367594.125          ,           0 , 352132.5            ,Benign
5362103 ,      0.0               ,  57142.857142857145      ,  0.0               ,       0.0            ,           0 ,      0.0            ,Benign
 466707 ,      0.0               ,  55555.555555555555      ,  0.0               ,       0.0            ,           0 ,      0.0            ,Benign
7879901 ,      0.0               ,  90909.09090909091       ,  0.0               ,      22.0            ,           0 ,      0.0            ,Benign
7320138 ,    123.89950655852435  ,      0.9080213012717064  ,129.95238095238096  , 2447323.888888889    ,           0 ,1702509.5            ,Benign
7192756 ,      0.0               ,      0.03648356380791068 ,  0.0               ,54819206.0            ,           0 ,      0.0            ,Benign
4507928 ,  87449.3927125506      ,   1619.4331983805669     , 51.33333333333334  ,       0.0            ,           0 ,      0.0            ,Benign
2136285 ,    838.0949935744522   ,      1.6046676572815004  ,498.5454545454545   ,  385796.875          ,           0 ,3086375.0            ,Benign
1123960 , 383333.3333333333      ,   6862.745098039215      , 48.875             ,     240.5            ,           0 ,      0.0            ,Benign
4980637 ,  81997.2514887769      ,    916.1704076958314     , 73.0               ,       0.0            ,           0 ,      0.0            ,Benign
6319846 ,  70325.90051457977     ,   1143.5105774728418     , 52.0               ,       0.0            ,           0 ,      0.0            ,Benign
6509019 ,      0.0               ,  86956.52173913043       ,  0.0               ,       0.0            ,           0 ,      0.0            ,Benign
1926763 , 103969.75425330814     ,   1890.359168241966      , 50.33333333333334  ,       0.0            ,           0 ,      0.0            ,Benign
4690999 ,    806.7825672574287   ,      2.5099902092453337  ,300.0               ,  796815.8571428572   ,           0 , 279825.0            ,Benign
 124212 ,   6454.988195577922    ,     57.82042091873166    ,110.3095238095238   ,   38796.648648648654 ,           1 ,      0.0            ,Benign
3956988 , 342465.7534246576      ,   6849.315068493151      , 47.33333333333334  ,       0.0            ,           0 ,      0.0            ,Benign
3920010 ,   8002.686216352343    ,    111.92568134758521    , 61.33333333333333  ,       0.0            ,           0 ,      0.0            ,Benign
6694735 ,      0.0               ,  40816.32653061225       ,  0.0               ,      49.0            ,           0 ,      0.0            ,Benign
 891449 ,      0.0               ,  24390.243902439022      ,  0.0               ,      82.0            ,           0 ,      0.0            ,Benign
6656039 ,  43077.52705729097     ,    107.06924703552022    ,371.3846153846154   ,   15380.2            ,           0 ,      0.0            ,Benign
3475408 ,     79.5598646702585   ,      0.3482389720807728  ,223.02380952380958  , 6196591.736842105    ,           0 ,  91886.5            ,Benign
3460536 ,     19.392522034461628 ,      0.3023333056597581  , 62.361111111111114 , 6431459.611111111    ,           0 ,  39419.583333333336 ,Benign
 668003 ,   1162.175381142461    ,      1.4434169658919016  ,800.3630952380955   , 1960977.6949152541   ,           0 ,  60712.33333333332  ,Benign
5389877 ,     49.63535636848164  ,      0.22082807419242345 ,216.44444444444443  , 9811554.416666666    ,           0 , 120770.0            ,Benign
2260953 ,   3493.395621886433    ,     41.341960022324656   , 76.4               ,   96197.0            ,           0 ,      0.0            ,Benign
3659433 ,    719.4255954587836   ,     17.354564802733815   , 38.0               ,  105628.83333333334  ,           0 ,      0.0            ,Benign
6419643 ,      0.0               ,  41666.666666666664      ,  0.0               ,       0.0            ,           0 ,      0.0            ,Benign
1973590 ,      0.0               ,  19230.76923076923       ,  0.0               ,     104.0            ,           0 ,      0.0            ,Benign
6658827 , 774999.9999999999      ,  99999.99999999999       ,  6.2               ,      20.0            ,           0 ,      0.0            ,Benign
4618900 ,   1195.844647992677    ,      6.572982674932265   ,170.56250000000003  ,  326009.85714285716  ,           0 ,      0.0            ,Benign
3841891 ,      0.0               ,  47619.04761904762       ,  0.0               ,      42.0            ,           0 ,      0.0            ,Benign
4262941 ,      6.62143891154458  ,      0.09982068710871227 , 67.28571428571429  ,20035927.0            ,           1 ,  93338.0            ,Benign
 525249 ,   3036.1936499120616   ,     74.05350365639174    , 40.111111111111114 ,   53909.0            ,           0 ,      0.0            ,Benign
4481898 ,      0.0               ,2000000.0                 ,  0.0               ,       1.0            ,           0 ,      0.0            ,Benign
7212953 ,      0.0               ,      0.02261032621059445 ,  0.0               ,88455159.0            ,           0 ,      0.0            ,Benign
5496264 , 475806.4516129032      ,   8064.516129032258      , 56.33333333333334  ,       0.0            ,           0 ,      0.0            ,Benign
2234509 , 346666.66666666674     ,   6666.666666666667      , 49.33333333333334  ,       0.0            ,           0 ,      0.0            ,Benign
3353549 ,      0.0               ,   9803.921568627451      ,  0.0               ,     204.0            ,           0 ,      0.0            ,Benign
2398854 , 186513.6298421808      ,   2869.4404591104735     , 60.33333333333334  ,       0.0            ,           0 ,      0.0            ,Benign
5431180 , 103253.18246110326     ,   1414.4271570014146     , 59.66666666666667  ,       0.0            ,           0 ,      0.0            ,Benign
 233010 ,      0.0               ,    819.336337566571      ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
 129028 ,      0.0               ,     92.02171712524157    ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
 609164 ,      0.0               ,     76.66360012266176    ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
1244036 ,      0.0               ,     40.88363155671241    ,  0.0               ,   31021.0            ,           0 ,      0.0            ,ddos
 690228 ,      0.0               ,    993.5419771485347     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
3119632 ,    281.48944713540794  ,      1.8398003080745613  ,136.0               ,   24381.0            ,           0 ,      0.0            ,ddos
 184392 ,  94065.90014661623     ,    540.1651361987807     ,152.375             ,   12298.0            ,           1 ,      0.0            ,ddos
2321832 ,    302.1587218352978   ,      1.9033620273089624  ,141.11111111111111  ,   21075.333333333336 ,           0 ,      0.0            ,ddos
 929452 ,      0.0               ,   1697.792869269949      ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
 975574 ,      0.0               ,     70.17297638679345    ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
   6224 ,      0.0               ,  13245.033112582782      ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
1348006 , 840277.777777778       ,   4861.11111111111       ,151.25              ,     478.0            ,           1 ,      0.0            ,ddos
1147340 ,      0.0               ,    888.8888888888887     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
2574872 ,    302.361147070373    ,      1.8200821494078128  ,147.66666666666666  ,   24876.666666666664 ,           0 ,      0.0            ,ddos
2618427 ,    290.45548351224016  ,      1.8096914860575712  ,142.66666666666666  ,   18845.666666666664 ,           0 ,      0.0            ,ddos
 932984 ,      0.0               ,    644.5375443119563     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
1977495 ,  12497.124092781996    ,     73.20491100374393    ,149.375             ,   31872.0            ,           1 ,      0.0            ,ddos
 360392 ,      0.0               ,    203.12817387771682    ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
1415982 , 942350.332594235       ,   5173.688100517369      ,159.375             ,     449.0            ,           1 ,      0.0            ,ddos
  16661 ,      0.0               ,      1.1392454094106228  ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
2615350 ,    285.6795310505016   ,      1.7757857407956583  ,143.0               ,   31924.333333333336 ,           0 ,      0.0            ,ddos
1135121 ,      0.0               ,   1038.4215991692627     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
 109668 ,    698.1080138         ,      4.966215545         ,123.0               ,     171.0            ,           0 ,      0.0            ,ddos
 257075 ,      0.0               ,    187.5644752883804     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
 129089 ,      0.0               ,     65.75486586007365    ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
1565297 , 598019.801980198       ,   3465.346534653465      ,151.0               ,     672.0            ,           1 ,      0.0            ,ddos
 646869 ,      0.0               ,   1191.8951132300358     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
2015133 ,    299.6083991627844   ,      1.8754829368562405  ,142.0               ,   24893.0            ,           0 ,      0.0            ,ddos
3615051 ,    277.21980144018846  ,      1.8059921917927588  ,136.44444444444446  ,   26797.333333333336 ,           0 ,      0.0            ,ddos
1463328 ,      0.0               ,   2219.7558268590456     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
2209611 ,    296.4941930912791   ,      1.8051396839651697  ,146.0               ,   22008.333333333336 ,           0 ,      0.0            ,ddos
 285876 , 866714.6974063402      ,   5043.227665706052      ,150.375             ,     767.0            ,           1 ,      0.0            ,ddos
1523569 ,      0.0               ,     47.1364600518501     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
3027950 ,    299.6313352735602   ,      1.8538675036260488  ,143.66666666666666  ,   18195.333333333336 ,           0 ,      0.0            ,ddos
 389395 ,      0.0               ,    241.02193299590263    ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
2313019 ,    306.23132317527745  ,      1.844767007079985   ,147.55555555555554  ,   28823.0            ,           0 ,      0.0            ,ddos
  64960 , 246453.90070921983     ,   1379.0386130811664     ,156.375             ,    4489.0            ,           1 ,      0.0            ,ddos
 350452 ,      0.0               ,   1167.5423234092234     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
1075780 ,      0.0               ,   1101.3215859030838     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
1036583 ,      0.0               ,     45.943214187264545   ,  0.0               ,   25134.0            ,           0 ,      0.0            ,ddos
 746094 ,      0.0               ,   1571.0919088766693     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
 183086 ,  65251.49011816376     ,    365.9939349576493     ,156.0               ,   18167.0            ,           1 ,      0.0            ,ddos
 235743 ,    804.6400912         ,      5.724065689         ,123.0               ,     167.5            ,           0 ,      0.0            ,ddos
2788501 ,    288.06762091441084  ,      1.7538363525991525  ,146.0               ,   25612.333333333336 ,           0 ,      0.0            ,ddos
 860929 ,      0.0               ,    123.15270935960592    ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
 370105 ,      0.0               ,   1795.3321364452427     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
 397884 ,      0.0               ,    271.0394362379726     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
1064103 ,      0.0               ,    461.5739672282483     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
 239875 ,      0.0               ,   2758.6206896551726     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
 304405 ,      0.0               ,    566.7327854916408     ,  0.0               ,       0.0            ,           0 ,      0.0            ,ddos
